,GloGEM,PyGEM,OGGM,Median_RF
RHINE,1.2274518959801979,1.0446819531348652,1.6059578461051838,1.2274518959801979
RHONE,3.0645185305148512,2.3797517262514054,3.3500589075622456,3.0645185305148512
PO,0.9513211104207919,0.7798106617634397,1.1554616964623663,0.9513211104207919
DANUBE,1.1410384752475247,1.0453869917076948,1.521114167242399,1.1410384752475247
TITICACA,0.5880221348168317,0.5166972494673705,1.0190093274551981,0.5880221348168317
SANTA,0.8058084235742574,0.6574468797632637,1.0343093324707922,0.8058084235742574
OCONA,0.052795457039603796,0.0327919291504534,0.07393194114825985,0.052795457039603796
MAJES,0.043589896618811755,0.02840407957103295,0.07668932711311975,0.043589896618811755
MAGDALENA,0.20081209191089078,0.19049793032663245,0.20811045501653463,0.20081209191089078
AMAZON,3.1738878438811886,2.6236265044512233,6.309865952826734,3.1738878438811886
YELCHO,1.3435449562029702,1.1250976046573071,0.8589533367565843,1.1250976046573071
VALDIVIA,0.2249590533316829,0.18318770184023175,0.16180614308418675,0.18318770184023175
SERRANO,8.270958043242576,3.690132450236399,3.646559047878438,3.690132450236399
RAPEL,0.6865303699702969,0.4081117628377081,0.6065481195592288,0.6065481195592288
PUELO,1.2515267889455446,0.9322039494209513,0.6297120172210089,0.9322039494209513
PASCUA,13.832945318163368,7.248968987023773,6.581158801092487,7.248968987023773
PALENA,1.9342930752574259,1.6170915238241321,1.5743547210769502,1.6170915238241321
HUASCO,0.0313629094455445,0.0189827776047685,0.022737963970405152,0.022737963970405152
COPIAPO,0.0335845869851484,0.021929389919461098,0.0237657931152754,0.0237657931152754
CISNES,0.347925591920792,0.3286318906909548,0.3266734279290445,0.3286318906909548
BIOBIO,0.2502627589356435,0.20330368673384036,0.18957886640499394,0.20330368673384036
BAKER,12.988276217336635,7.427478116961142,6.068267443958184,7.427478116961142
AZOPARDO,0.08772042927722751,0.06958493221714554,0.0670444983648101,0.06958493221714554
AISEN,0.759075377450495,0.6333176070016173,0.6028159936876563,0.6333176070016173
SANTA CRUZ,23.074250949341582,11.724750042931408,8.852630183578079,11.724750042931408
NEGRO,0.1164986775445543,0.07576240750846,0.111426785817289,0.111426785817289
COLORADO,2.1992790654158414,1.1374277051536663,2.0571657071664786,2.0571657071664786
CHICO,0.08096193706435625,0.05240908828861075,0.06281118342543225,0.06281118342543225
TORNEALVEN,0.093043366881188,0.11066036366770915,0.11945676020294575,0.11066036366770915
THJORSA,3.741107570381188,3.0881171102961513,4.813631211835208,3.741107570381188
OLFUSA,2.5310953725148515,2.506615302558701,3.344045075529249,2.5310953725148515
LULEALVEN,0.8664793592326732,0.9769659928511392,0.8861287150426296,0.8861287150426296
KUBAN,0.6464902682673267,0.5535960663156051,0.641449346969206,0.641449346969206
KALIXALVEN,0.1053113139851484,0.11450555773770224,0.11021660206559314,0.11021660206559314
GLOMAA,0.8603906307970298,1.0786999052479,0.9195878401805434,0.9195878401805434
DRAMSELVA,0.10962159318316819,0.13727142751424004,0.1214397613413856,0.1214397613413856
SVARTA,0.9643451236386138,0.8239323945839414,1.1182251699861145,0.9643451236386138
LAGARFLJOT,0.6229145290643563,0.6689363132245667,0.8310865820870053,0.6689363132245667
JOKULSA A FJOLLUM,4.423784718826733,3.2608657022789513,6.928260036607354,4.423784718826733
CLUTHA,1.1472885983316832,0.6114304090670277,0.7674667678061412,0.7674667678061412
YUKON,27.08101535735643,22.335770465176957,33.493499759017375,27.08101535735643
TAKU,5.56143671639604,4.821569017658749,7.595943248241644,5.56143671639604
SUSITNA,16.44548186380198,14.379592160902352,18.574742221773676,16.44548186380198
STIKINE,13.934052470475244,13.814730397741975,13.150503691032261,13.814730397741975
SKEENA,3.140153327039604,3.1184592240554805,2.8565636995407497,3.1184592240554805
SKAGIT,0.7339787223415839,0.6593075517935728,0.8494690176862756,0.7339787223415839
NUSHAGAK,0.2413439215841583,0.23550884253614107,0.3131266282993152,0.2413439215841583
NASS,4.9162884647524745,4.724115383041757,5.255274245725021,4.9162884647524745
KUSKOKWIM,3.172765793980198,2.73798844186303,3.5129465146148062,3.172765793980198
FRASER,8.322866016356436,8.69740595544155,8.447696202624133,8.447696202624133
COPPER,64.96153487552476,49.398138544461155,77.40923423993524,64.96153487552476
COLUMBIA,6.178666675064357,6.215392916863683,6.781111300174736,6.215392916863683
ALSEK,23.876494943826735,21.622657259922278,28.167620520178534,23.876494943826735
NELSON,0.9816820676584158,0.9663847721462913,1.104949511626497,0.9816820676584158
MACKENZIE,3.415870648628714,3.7909933383188394,4.041176947029376,3.7909933383188394
COLVILLE,0.04858809916336625,0.050336913076791806,0.0767069559161011,0.050336913076791806
YSYK-KOL,0.9424204929851485,0.6814758930589612,1.223543848400978,0.9424204929851485
UVS NUUR,0.1028916611930692,0.08558603838775855,0.0612252496537196,0.08558603838775855
TARIM HE,34.42853305191585,18.21323076471151,36.388513199604716,34.42853305191585
TALAS,0.1634263290297029,0.13154684144621534,0.16967118912826715,0.1634263290297029
LAKE BALKHASH,3.9384689227920795,3.0598416553826135,5.449760818330439,3.9384689227920795
HAR US NUUR,0.5737106821633662,0.4606099439061582,0.45042989842221737,0.4606099439061582
CHUY,0.8529605452425741,0.6348194305677732,0.9250048487317256,0.8529605452425741
ARAL SEA,20.84280055836139,14.316759761465491,25.76255543515826,20.84280055836139
YELLOW RIVER,0.2736508557079207,0.246302481574181,0.5464376589481859,0.2736508557079207
MEKONG,0.2957853266831683,0.27878314021566863,0.5514340372608384,0.2957853266831683
KAMCHATKA,0.9129876135891088,0.47026525493956506,0.6958570990583274,0.6958570990583274
SALWEEN,2.965126164445545,2.606212805191918,4.26825990695744,2.965126164445545
IRRAWADDY,0.1851442016980197,0.15210148069259244,0.22326246388681292,0.1851442016980197
INDUS,54.55862938938614,29.504349475433006,57.20668019660563,54.55862938938614
GANGES,21.983570868123756,11.606162226144557,43.92872663226424,21.983570868123756
BRAHMAPUTRA,31.805357566262373,24.251673764181348,39.47176952715584,31.805357566262373
OB,1.7781740719059407,1.5324445404354998,1.772991012246538,1.772991012246538
INDIGIRKA,0.3156805270445544,0.2875301875253535,0.37870255609167147,0.3156805270445544
YANGTZE,3.574639310326733,2.7420455026143395,5.932873778401088,3.574639310326733
