,GloGEM,PyGEM,OGGM,Median_RF
RHINE,1.2476182525841584,1.0443149162385474,1.6082600106446647,1.2476182525841584
RHONE,3.082902727940594,2.3563831192000513,3.3429796562858325,3.082902727940594
PO,0.9689574177425742,0.7880012108154741,1.172171207727999,0.9689574177425742
DANUBE,1.1820446824752473,1.0570185643869512,1.56517183955807,1.1820446824752473
TITICACA,0.5796027376980197,0.5056838927554606,1.0027002607786635,0.5796027376980197
SANTA,0.7690038198861388,0.5954376372923094,0.954198760029703,0.7690038198861388
OCONA,0.049850917821782054,0.02986976288668545,0.06856357658382026,0.049850917821782054
MAJES,0.0399757040198019,0.02420298975139075,0.0711783845659552,0.0399757040198019
MAGDALENA,0.2070019578514849,0.1895415115224648,0.2120225351311881,0.2070019578514849
AMAZON,3.067351832514851,2.475847315950416,6.091012872836634,3.067351832514851
YELCHO,1.4043249820594057,1.163148531906653,0.877726851878399,1.163148531906653
VALDIVIA,0.24005155745049478,0.1947701751771102,0.16794601505982149,0.1947701751771102
SERRANO,8.019050909504951,3.4226592775129827,3.458460841291148,3.458460841291148
RAPEL,0.6930954568465344,0.39605971023969977,0.5992280647330387,0.5992280647330387
PUELO,1.3287176109356438,0.96809631266111,0.6495545309746912,0.96809631266111
PASCUA,13.445262612866339,6.499934250440667,5.866820275377096,6.499934250440667
PALENA,2.0068052829356438,1.6707882546776607,1.6296187416528514,1.6707882546776607
HUASCO,0.0291947401980197,0.01799418126605425,0.020558170397630297,0.020558170397630297
COPIAPO,0.030370592752475098,0.0189726027415553,0.0197664568356442,0.0197664568356442
CISNES,0.3623215563465345,0.3392682919897734,0.33823468076089014,0.3392682919897734
BIOBIO,0.2683891792079207,0.21401496340242204,0.1990497236403218,0.21401496340242204
BAKER,12.909218441727724,7.222570444410788,5.85819184000761,7.222570444410788
AZOPARDO,0.08533773233663344,0.06831341531624364,0.06469433280555875,0.06831341531624364
AISEN,0.7837329152029702,0.6463635244678505,0.6156829978503111,0.6463635244678505
SANTA CRUZ,22.39303981378713,10.61622643476028,8.15007390978533,10.61622643476028
NEGRO,0.12277170301485141,0.0783356978485331,0.11575417289729326,0.11575417289729326
COLORADO,2.077512030544554,1.0246784673853035,1.9417689336436519,1.9417689336436519
CHICO,0.08289815708415821,0.052716629590813496,0.0635733911654615,0.0635733911654615
TORNEALVEN,0.088137218420792,0.10669362477905994,0.11511850177515726,0.10669362477905994
THJORSA,3.2002235681089113,2.61737275874098,4.4205481630071795,3.2002235681089113
OLFUSA,2.255066596118812,2.30066098288881,3.125026958648056,2.30066098288881
LULEALVEN,0.8118448780495048,0.9368428529303117,0.846389354121478,0.846389354121478
KUBAN,0.6750279486782178,0.556303813100879,0.6656214733512907,0.6656214733512907
KALIXALVEN,0.09907930125742564,0.10944580735603095,0.10596346456327596,0.10596346456327596
GLOMAA,0.7917727801633663,1.03679161611196,0.8823867936179279,0.8823867936179279
DRAMSELVA,0.1025029173019801,0.13246103416547816,0.11729882868884285,0.11729882868884285
SVARTA,0.8164332338019802,0.7157766798802512,1.0134542978909802,0.8164332338019802
LAGARFLJOT,0.5440353279207919,0.5823883366293865,0.7404674949184404,0.5823883366293865
JOKULSA A FJOLLUM,3.617103396054456,2.558470353211323,6.076874750208253,3.617103396054456
CLUTHA,1.127487337940594,0.6092790687374148,0.7629586562699793,0.7629586562699793
YUKON,23.50847416211881,18.726825994243654,29.752594872712645,23.50847416211881
TAKU,5.260777834148515,4.539491375385614,7.344900934345679,5.260777834148515
SUSITNA,15.038395801247525,13.162078217289512,17.00214744226257,15.038395801247525
STIKINE,13.610592365742576,13.483231216663565,12.816749600588803,13.483231216663565
SKEENA,3.0784712858663372,3.071613495118256,2.797753153282489,3.071613495118256
SKAGIT,0.7274298716831683,0.65071441367975,0.8348013332101956,0.7274298716831683
NUSHAGAK,0.23269984610396027,0.23025903039888634,0.3037909441529609,0.23269984610396027
NASS,4.777737045207921,4.610590822259379,5.116024994876966,4.777737045207921
KUSKOKWIM,2.9711754126386136,2.6535309246757155,3.3472529236532296,2.9711754126386136
FRASER,8.129167359762377,8.587555866006184,8.386739772899137,8.386739772899137
COPPER,58.41681945430693,42.63111672529159,69.99558412153557,58.41681945430693
COLUMBIA,6.048976696024752,6.119449096775428,6.7154009579524985,6.119449096775428
ALSEK,22.26736276468812,20.351327575982964,26.56784226053263,22.26736276468812
NELSON,0.9499846011782178,0.9543070963749742,1.0930457013202814,0.9543070963749742
MACKENZIE,3.303622292331683,3.713643279314301,3.954171628435345,3.713643279314301
COLVILLE,0.04658297163366325,0.0486753243371617,0.07388245834301285,0.0486753243371617
YSYK-KOL,0.9117790994950494,0.6583570181067583,1.1987458473896049,0.9117790994950494
UVS NUUR,0.10119146995544545,0.08353580909635705,0.059159864077436494,0.08353580909635705
TARIM HE,29.69239991008416,13.060664848222448,31.210281930109026,29.69239991008416
TALAS,0.16351359540594054,0.1297709047250645,0.16745969007015227,0.16351359540594054
LAKE BALKHASH,3.7451622023613864,2.885053962070719,5.335525226044121,3.7451622023613864
HAR US NUUR,0.5533926267376237,0.4453849585772066,0.4367890936887147,0.4453849585772066
CHUY,0.8472782927772278,0.6201226880588706,0.9116491111898217,0.8472782927772278
ARAL SEA,18.971475406158415,12.519740244258315,23.730730104834358,18.971475406158415
YELLOW RIVER,0.26274361028217813,0.23442933987518055,0.5336744766842987,0.26274361028217813
MEKONG,0.28934657312376233,0.27923038161559205,0.5579372201577601,0.28934657312376233
KAMCHATKA,0.8658483543762376,0.42866085746022753,0.6550971381241033,0.6550971381241033
