,GloGEM,PyGEM,OGGM,Median_RF
RHINE,1.2295416666534653,1.0338381316481353,1.5861562025164226,1.2295416666534653
RHONE,3.0744121835000007,2.3790548830054643,3.3497409182475204,3.0744121835000007
PO,0.9577275535445545,0.784656024418377,1.1666929000945756,0.9577275535445545
DANUBE,1.1582714871138613,1.0451680763072577,1.5361760612352033,1.1582714871138613
TITICACA,0.5897659316534654,0.513462580874178,1.0110317704334157,0.5897659316534654
SANTA,0.7887367236930691,0.6298332882594202,1.0055826065212872,0.7887367236930691
OCONA,0.05237260749999985,0.0317248661635126,0.07225376008529895,0.05237260749999985
MAJES,0.042486883856435606,0.0266232375869296,0.07472751400094185,0.042486883856435606
MAGDALENA,0.2099394196237621,0.1926228490152091,0.21658286814158412,0.2099394196237621
AMAZON,3.1415773927425747,2.573480863269941,6.239732787158414,3.1415773927425747
YELCHO,1.3685776041534652,1.1425146139832936,0.8690651790790347,1.1425146139832936
VALDIVIA,0.2336857815990097,0.19068484288115112,0.16641590069517054,0.19068484288115112
SERRANO,8.112196975990098,3.5143950340176704,3.5542917182184164,3.5542917182184164
RAPEL,0.6881504616485148,0.403800159203144,0.599872115672494,0.599872115672494
PUELO,1.276381243450495,0.9503048818052908,0.6386780465236115,0.9503048818052908
PASCUA,13.543866982965348,6.878877102496736,6.149957386331735,6.878877102496736
PALENA,1.964611779183168,1.6536593204809698,1.604952291840339,1.6536593204809698
HUASCO,0.03022453282673255,0.018421220695611952,0.021959630979712,0.021959630979712
COPIAPO,0.0319067984950494,0.02095037124244805,0.022480076137361547,0.022480076137361547
CISNES,0.35344829274257417,0.33570459629253063,0.33295897649358647,0.33570459629253063
BIOBIO,0.26260399770297027,0.21293645215590457,0.1964929583097177,0.21293645215590457
BAKER,12.895329849653468,7.308118450972211,5.959026052801775,7.308118450972211
AZOPARDO,0.08736071563366316,0.06923230174168796,0.0654679900115593,0.06923230174168796
AISEN,0.7647447042871286,0.6393756087256603,0.6058389904760829,0.6393756087256603
SANTA CRUZ,22.74460119263862,11.128924562767573,8.420623478352287,11.128924562767573
NEGRO,0.12018060517821766,0.07827370000326825,0.11442226940876354,0.11442226940876354
COLORADO,2.1613294268613865,1.0954367837631032,2.0004837137792464,2.0004837137792464
CHICO,0.08151512481683146,0.052753005444909504,0.0633388328179701,0.0633388328179701
TORNEALVEN,0.09052797308415834,0.1080421744575411,0.11709156658867165,0.1080421744575411
THJORSA,3.4674428129306936,2.747274150375974,4.466885521064022,3.4674428129306936
OLFUSA,2.3477136619455448,2.3434619623997346,3.165557901403142,2.3477136619455448
LULEALVEN,0.8411088987524752,0.9540613117347019,0.8673133565913451,0.8673133565913451
KUBAN,0.6696719660891091,0.5558106418441546,0.6628316350758809,0.6628316350758809
KALIXALVEN,0.10216223268811869,0.11115488979765985,0.10815204741667944,0.10815204741667944
GLOMAA,0.8161721492425742,1.0437098884963498,0.8959754971192013,0.8959754971192013
DRAMSELVA,0.10469789235148505,0.1327596451126932,0.118942659781002,0.118942659781002
SVARTA,0.8564224561732672,0.7352168663683752,1.0275319245752292,0.8564224561732672
LAGARFLJOT,0.5866199581435643,0.6116815851373153,0.7724799347170255,0.6116815851373153
JOKULSA A FJOLLUM,4.0315676963366345,2.781396533172094,6.273735396479901,4.0315676963366345
CLUTHA,1.125650169158416,0.608060603910572,0.7553297915844441,0.7553297915844441
YUKON,25.324421979113865,20.12757957350903,31.49035165133092,25.324421979113865
TAKU,5.4361273994009895,4.6823012186553745,7.3781749537060595,5.4361273994009895
SUSITNA,15.794791724846533,13.458691843765727,17.40226207375982,15.794791724846533
STIKINE,13.636761193851484,13.643080763897723,12.899173613349504,13.636761193851484
SKEENA,3.1016651589455444,3.1088216138428932,2.822463375127059,3.1016651589455444
SKAGIT,0.7417021684801979,0.6586674697086761,0.849516814023315,0.7417021684801979
NUSHAGAK,0.2381063711089107,0.23281422893060166,0.3080583836253934,0.2381063711089107
NASS,4.844613720009901,4.674370814981495,5.185814236557517,4.844613720009901
KUSKOKWIM,3.067635601282178,2.6909128496329027,3.4379917298246196,3.067635601282178
FRASER,8.337077704391088,8.726612972712342,8.52988592806388,8.52988592806388
COPPER,63.182125864836635,45.79352190145006,73.52201967487446,63.182125864836635
COLUMBIA,6.1410754566782195,6.273612634987943,6.8124852563436455,6.273612634987943
ALSEK,23.441229927534657,20.956377934889577,27.473183431798496,23.441229927534657
NELSON,0.9735301811336633,0.9731189471585773,1.1035723403090512,0.9735301811336633
MACKENZIE,3.3710708433217826,3.7517878111801326,4.018060467488063,3.7517878111801326
COLVILLE,0.04750723674752465,0.04967220854003665,0.0753519362526542,0.04967220854003665
YSYK-KOL,0.9336854413960394,0.6735434908076131,1.2154512022122672,0.9336854413960394
UVS NUUR,0.1013654464455444,0.0852598173552453,0.060327300386845195,0.0852598173552453
TARIM HE,31.896150743683165,15.664141630030159,33.685240919435316,31.896150743683165
TALAS,0.16596431070792073,0.13171293924759592,0.17344034497615435,0.16596431070792073
LAKE BALKHASH,3.8314770164405942,3.0000339914312653,5.432378831977356,3.8314770164405942
HAR US NUUR,0.5621911636039603,0.451350538061296,0.4412632733682772,0.451350538061296
CHUY,0.857936723529703,0.6314847057955337,0.9234797426603458,0.857936723529703
ARAL SEA,20.167246760534656,13.460213858618943,24.88860105769305,20.167246760534656
YELLOW RIVER,0.2678262999257425,0.2387119002865421,0.5327868413860029,0.2678262999257425
MEKONG,0.2941463155742574,0.2802702081811008,0.5591562577434354,0.2941463155742574
KAMCHATKA,0.8961089964257425,0.4501313783502269,0.6791555106377045,0.6791555106377045
SALWEEN,2.900082189554455,2.567706820616749,4.211987963538931,2.900082189554455
IRRAWADDY,0.18297473871782172,0.15151565610683876,0.219135073669907,0.18297473871782172
INDUS,51.45958685894555,27.413035708397782,54.136070576708335,51.45958685894555
GANGES,21.81435926627228,11.314494458651595,42.849799593803475,21.81435926627228
BRAHMAPUTRA,30.93206138256931,23.782477984452676,38.93525024903566,30.93206138256931
