,Aridity_Index_Avg,Average Precipitation Trend,GlacierAreaFrac,Mean_Volume_Loss_ssp126,Mean_Volume_Loss_ssp245,Mean_Volume_Loss_ssp370,Mean_Volume_Loss_ssp585,Mean_Initial_Volumes_ssp126,Mean_Initial_Volumes_ssp245,Mean_Initial_Volumes_ssp370,Mean_Initial_Volumes_ssp585,#glaciers
RHINE,1.927592501446339,425249932.0840784,0.0020654236947837,16.803060614042188,17.73740784296676,18.215390916375153,18.355297136262124,18.112635478409388,18.22603614846665,18.345624381755098,18.39849683042035,796
RHONE,1.1961667793327748,1288113665.9631622,0.0094920977294007,51.79115062341559,57.40754706728034,60.40340605880151,61.43205817229203,60.670065514362,61.198225300531966,61.62833477229248,61.924358764424206,1169
PO,2.470101849880041,1257262591.592276,0.0042763516749323,13.800909523196362,14.806135851574188,15.35112187732796,15.545221496571218,15.432825904803726,15.558914301197673,15.66270817442269,15.727026013398469,765
DANUBE,1.1697726370107948,830048278.0183103,0.0005171034755327,19.59976887879238,20.328888677941,20.66600260367324,20.778652583540826,20.456918737170525,20.58830546096141,20.728556115204466,20.799446842869127,841
TITICACA,0.7201930167304725,247021680.559963,0.0038189713567352,12.011625845703938,12.811495272042906,13.078216664012382,13.11840718616934,13.021524626335482,13.09293561111945,13.117128940935414,13.132595119000882,310
SANTA,5.675271554291369,744893549.9086425,0.0295869640311876,8.927345229344144,11.565384090643672,12.94134439482825,13.360261966853717,13.7230795636021,13.880629116003782,13.952722633738462,14.000717603949637,409
OCONA,1.6247835076760513,539296999.3059391,0.0021709460719772,1.614746783870134,1.7984460698636908,1.8842305425209491,1.919103355338282,1.803802025933696,1.8663236395271412,1.9029627214162173,1.925592912195973,34
MAJES,3.596080771134159,74943999.86513543,0.0017917434604585,0.9191575109253404,1.1405827781100322,1.2983634771397703,1.343633056279008,1.2598277759545675,1.3096581985070668,1.3429500632287112,1.3632055125105091,64
MAGDALENA,1.3316537136463171,1144062666.1487331,0.0001793204940234,1.8271586712697712,2.010533233705961,2.035331514903281,2.02728728193431,2.078296052873099,2.053643588355562,2.037626593889194,2.027774523462194,30
AMAZON,1.542379128082896,3260888402.8382344,0.0002347001256909,43.98125480613375,51.11061149659407,54.20946014241032,54.94671652971903,54.47260642804291,55.064821856481466,55.3845911900404,55.56054288076232,1555
YELCHO,0.8690479090485062,893987248.9720296,0.0209808628015948,6.442841015601977,7.976003982479591,8.546371506726,8.701028301587163,8.573741290962994,8.640571508665216,8.70377402053216,8.75079105915671,618
VALDIVIA,0.4590034726843319,299651254.5221046,0.0044742039760109,2.069935835196221,2.187113877715242,2.2038270390182846,2.2140497066864135,2.2732933982318646,2.2425282317406094,2.2219995550548206,2.223099846263144,33
SERRANO,0.4110063918588194,48937446.99968378,0.1089968867568658,109.86649086830036,123.60391245715068,136.97260216408023,146.6295534964755,178.07453062738736,179.66623907255325,181.20895400939176,182.0984171052373,167
RAPEL,0.5932235882664676,65670718.07377766,0.0169951486363562,9.413452286046075,11.197083408735644,12.279693793593152,12.590784035004852,12.551190096620758,12.742327557552686,12.9125693695201,13.024139631703797,246
PUELO,0.4442021082671888,144392300.93823305,0.0237246064407932,6.591263635426461,7.608357075976073,7.929055676721051,8.039629315657562,7.916412093968738,7.982399266546804,8.040166860410896,8.090107216577655,416
PASCUA,0.4149993135159642,20891649.330035742,0.1738666433737945,268.28303018344513,305.88411258671164,338.321573425039,360.1615267484295,400.22509351867615,405.0570340693853,409.4461179228144,412.9200296076603,1098
PALENA,0.4448854124312441,764110559.1846972,0.0265230956361469,13.991614431850776,15.475333995211118,16.126986140509494,16.34283972319969,16.167022348313136,16.27715480642961,16.38333038801014,16.442848090960904,650
HUASCO,0.8538185197553987,33395163.85802708,0.0034561398935986,0.7058700230694887,0.8196157325046901,0.8466213787473758,0.8513115724845426,0.8316739908219141,0.8432112615746511,0.8509037703044827,0.8528998447261339,89
COPIAPO,1.2272764814949224,14791734.006471958,0.0019059420550672,0.8990405092468944,1.13156766492,1.217421513593131,1.235863622023516,1.1904537699601274,1.215604375344416,1.2317547703601202,1.238690408744618,71
CISNES,1.4025791779228782,-7928173639.635992,0.0139361511985317,1.5979864337744534,1.832842781709347,1.892984792106432,1.91079370073197,1.8702539565583975,1.889172350703324,1.9059866194228985,1.9172358165227843,180
BIOBIO,1.3319949427312263,-16601099.928704135,0.0030785094331802,1.9939984790034977,2.2627538149655866,2.332847646052899,2.352172228226445,2.342821733197858,2.3506508329674403,2.345427114053656,2.354798207136978,138
BAKER,0.3913495740480331,194678059.921804,0.0753352698113979,108.76770232753832,130.42192527498588,149.50730916397612,164.0717371006033,208.59961812900448,210.2468705401319,211.77661730313116,212.80672098944956,1957
AZOPARDO,1.8565775463860472,-895486098.3692123,0.0085291980748079,0.7681881560293056,0.8517760647756643,0.9025063285056218,0.9235473916602412,0.9444867502986666,0.9549077509551204,0.9668513524691326,0.975988127161066,88
AISEN,0.6296618660264011,-77069177.4531552,0.0125192221161051,4.474434706591385,4.821911765595064,4.926351223453886,4.964348880239526,4.888231511319445,4.923482260527543,4.952305355859946,4.971925500904434,404
SANTA CRUZ,3.1713970023026783,-21441590.377606288,0.1041850275339937,601.2202137867611,653.7931434174495,700.3054520278971,731.9109831463428,804.8245421531584,813.1465708897709,821.102227106457,826.7247459171441,461
NEGRO,3.95892989581327,-32487240.646428365,0.0003506704619328,1.0047696317193768,1.2010005030034927,1.303300560886417,1.3312820984159657,1.3209882352669788,1.3334278311797243,1.342154262006441,1.3500702862258445,194
