,Aridity_Index_Avg,Average Precipitation Trend,GlacierAreaFrac,Mean_Volume_Loss_ssp126,Mean_Volume_Loss_ssp245,Mean_Volume_Loss_ssp370,Mean_Volume_Loss_ssp585,Mean_Initial_Volumes_ssp126,Mean_Initial_Volumes_ssp245,Mean_Initial_Volumes_ssp370,Mean_Initial_Volumes_ssp585,#glaciers
RHINE,1.927592501446339,425249932.0840784,0.0020633843441393,16.32346666666666,18.207546153846145,19.09559999999999,19.37813076923076,19.717999999999993,19.717999999999993,19.717999999999993,19.717999999999993,796
RHONE,1.1961667793327748,1288113665.9631622,0.0094749662657185,49.23117500000002,57.5524384615385,62.65866923076927,64.23039230769236,66.51150000000003,66.51150000000004,66.51150000000004,66.51150000000004,1168
PO,2.470101849880041,1257262591.592276,0.0042747733304225,12.172916666666667,13.74096153846154,14.660815384615386,14.970192307692306,15.321075,15.32106923076923,15.321084615384615,15.321061538461535,765
DANUBE,1.1697726370107948,830048278.0183103,0.0005096362930869,17.452875,19.341715384615384,20.235215384615383,20.471853846153845,20.672941666666667,20.672930769230767,20.67293846153846,20.672923076923077,822
TITICACA,0.7201930167304725,247021680.559963,0.0038168507360502,11.076015384615388,12.174038461538464,12.487676923076926,12.51955384615385,12.530100000000004,12.530100000000004,12.530100000000004,12.530100000000004,308
SANTA,5.675271554291369,744893549.9086425,0.0296162482991209,11.515515384615384,13.335376923076923,14.02136153846154,14.171046153846154,14.7286,14.7286,14.7286,14.7286,409
OCONA,1.6247835076760513,539296999.3059391,0.0021701507775439,1.6067,1.8081000000000005,1.8527538461538464,1.8574846153846156,1.8592,1.8592,1.8592,1.8592,34
MAJES,3.596080771134159,74943999.86513543,0.0017933717494954,0.8168615384615385,1.0530769230769232,1.1958230769230769,1.2357384615384617,1.2697,1.2697,1.2697,1.2697,64
MAGDALENA,1.3316537136463171,1144062666.1487331,0.0001792077442168,1.6908999999999996,2.3120999999999996,2.4670923076923073,2.483661538461538,2.4882999999999997,2.4882999999999997,2.4882999999999997,2.4882999999999997,30
AMAZON,1.542379128082896,3260888402.8382344,0.0002351273954186,44.71960769230769,53.806999999999995,57.06490769230768,57.71429999999999,58.57622307692308,58.57611538461538,58.576030769230755,58.57615384615384,1552
YELCHO,0.8690479090485062,893987248.9720296,0.0209795244617707,6.849230769230766,8.330769230769228,9.437546153846151,9.830538461538458,10.065299999999995,10.065299999999995,10.065299999999995,10.065299999999995,616
VALDIVIA,0.4590034726843319,299651254.5221046,0.0044781460838955,3.031592307692308,3.4177769230769233,3.550923076923077,3.592523076923077,3.624,3.624,3.624,3.624,33
SERRANO,0.4110063918588194,48937446.99968378,0.1089290428660753,120.6359153846153,137.89770769230762,154.8912384615384,167.70594615384607,206.01809999999992,206.01809999999992,206.01809999999992,206.01809999999992,166
RAPEL,0.5932235882664676,65670718.07377766,0.0169850194058544,11.117676923076932,13.842415384615396,15.29180000000001,15.4702076923077,16.04160000000001,16.04160000000001,16.04160000000001,16.04160000000001,245
PUELO,0.4442021082671888,144392300.93823305,0.0237388386758325,7.654376923076921,8.654384615384613,8.464338461538459,8.924484615384612,9.388999999999998,9.388999999999998,9.388999999999998,9.388999999999998,416
PASCUA,0.4149993135159642,20891649.330035742,0.1738291665180641,305.1642538461539,351.28324615384616,383.67346153846154,401.2268692307693,448.8408,448.8408,448.8408,448.8408,1098
PALENA,0.4448854124312441,764110559.1846972,0.0265351273732914,14.36947692307692,16.73110769230769,18.102061538461538,18.51944615384615,18.925399999999996,18.925399999999996,18.925399999999996,18.925399999999996,651
HUASCO,0.8538185197553987,33395163.85802708,0.0034527773805389,0.6528153846153849,0.9058615384615388,0.990438461538462,1.0127076923076928,1.0370000000000004,1.0370000000000004,1.0370000000000004,1.0370000000000004,89
COPIAPO,1.2272764814949224,14791734.006471958,0.001905300835549,0.9027615384615382,1.1830923076923074,1.3267153846153843,1.3461615384615382,1.3821999999999997,1.3821999999999997,1.3821999999999997,1.3821999999999997,71
CISNES,1.4025791779228782,-7928173639.635992,0.0139534702921226,1.7379384615384612,2.037353846153846,2.1606923076923077,2.0304692307692305,2.1935,2.1935,2.1935,2.1935,180
BIOBIO,1.3319949427312263,-16601099.928704135,0.003077855620111,2.2367846153846154,2.847869230769231,3.021561538461538,3.0641307692307693,3.0939,3.0939,3.0939,3.0939,137
BAKER,0.3913495740480331,194678059.921804,0.0751138559440654,127.0937538461538,148.2408692307692,168.65856153846153,180.81373076923072,216.0224,216.0224,216.0224,216.0224,1955
AZOPARDO,1.8565775463860472,-895486098.3692123,0.0085173367969279,0.7329230769230768,0.9171461538461536,0.9354076923076922,1.045976923076923,1.1121,1.1121,1.1121,1.1121,87
AISEN,0.6296618660264011,-77069177.4531552,0.0125357886517438,4.217423076923076,4.747461538461537,5.005676923076922,5.075753846153845,5.164299999999999,5.164299999999999,5.164299999999999,5.164299999999999,404
SANTA CRUZ,3.1713970023026783,-21441590.377606288,0.1041544269022237,625.7239384615382,685.462169230769,727.0919076923074,752.9661769230765,831.6710999999997,831.6710999999997,831.6710999999997,831.6710999999997,461
NEGRO,3.95892989581327,-32487240.646428365,0.0003504133446008,1.238292307692308,1.4696615384615388,1.591746153846154,1.6190230769230771,1.6549000000000005,1.6549000000000005,1.6549000000000005,1.6549000000000005,194
COLORADO,3.0169834443107577,-485773.75583867234,0.0032431605892691,42.286092307692336,55.16757692307695,63.29380000000003,65.28981538461541,71.62930000000003,71.62930000000003,71.62930000000003,71.62930000000003,1743
