,GloGEM,OGGM,PyGEM
ALSEK,2040-01-01,2048-01-01,2040-01-01
COLUMBIA,2034-01-01,2032-01-01,2030-01-01
COLVILLE,2014-01-01,2022-01-01,2021-01-01
COPPER,2044-01-01,2042-01-01,2042-01-01
FRASER,2030-01-01,2030-01-01,2030-01-01
KUSKOKWIM,2028-01-01,2030-01-01,2028-01-01
MACKENZIE,2026-01-01,2027-01-01,2026-01-01
NASS,2040-01-01,2034-01-01,2033-01-01
NUSHAGAK,2023-01-01,2022-01-01,2022-01-01
NELSON,2030-01-01,2030-01-01,2030-01-01
SKAGIT,2024-01-01,2028-01-01,2026-01-01
SKEENA,2023-01-01,2029-01-01,2028-01-01
STIKINE,2038-01-01,2034-01-01,2034-01-01
SUSITNA,2050-01-01,2047-01-01,2040-01-01
TAKU,2034-01-01,2035-01-01,2034-01-01
YUKON,2052-01-01,2048-01-01,2044-01-01
DANUBE,2024-01-01,2021-01-01,2023-01-01
DRAMSELVA,2026-01-01,2034-01-01,2027-01-01
GLOMAA,2031-01-01,2034-01-01,2030-01-01
JOKULSA A FJOLLUM,2038-01-01,2045-01-01,2058-01-01
KALIXALVEN,2028-01-01,2034-01-01,2031-01-01
LAGARFLJOT,2036-01-01,2048-01-01,2051-01-01
LULEALVEN,2029-01-01,2032-01-01,2030-01-01
OLFUSA,2028-01-01,2038-01-01,2038-01-01
PO,2025-01-01,2021-01-01,2021-01-01
RHINE,2026-01-01,2018-01-01,2020-01-01
RHONE,2030-01-01,2022-01-01,2024-01-01
SVARTA,2038-01-01,2056-01-01,2054-01-01
THJORSA,2035-01-01,2048-01-01,2046-01-01
TORNEALVEN,2024-01-01,2033-01-01,2028-01-01
ARAL SEA,2050-01-01,2046-01-01,2046-01-01
BRAHMAPUTRA,2027-01-01,2028-01-01,2029-01-01
CHUY,2030-01-01,2032-01-01,2030-01-01
HAR US NUUR,2030-01-01,2031-01-01,2026-01-01
GANGES,2026-01-01,2030-01-01,2031-01-01
INDIGIRKA,2016-01-01,2026-01-01,2025-01-01
INDUS,2050-01-01,2043-01-01,2046-01-01
IRRAWADDY,2024-01-01,2021-01-01,2016-01-01
KAMCHATKA,2037-01-01,2040-01-01,2036-01-01
KUBAN,2020-01-01,2020-01-01,2018-01-01
LAKE BALKHASH,2031-01-01,2032-01-01,2032-01-01
MEKONG,2026-01-01,2028-01-01,2026-01-01
OB,2031-01-01,2032-01-01,2031-01-01
SALWEEN,2027-01-01,2023-01-01,2024-01-01
TALAS,2026-01-01,2028-01-01,2024-01-01
TARIM HE,2050-01-01,2051-01-01,2052-01-01
UVS NUUR,2029-01-01,2025-01-01,2023-01-01
YANGTZE,2026-01-01,2036-01-01,2031-01-01
YELLOW RIVER,2026-01-01,2029-01-01,2030-01-01
YSYK-KOL,2030-01-01,2030-01-01,2030-01-01
AISEN,2014-01-01,2022-01-01,2021-01-01
AMAZON,2025-01-01,2026-01-01,2022-01-01
AZOPARDO,2030-01-01,2040-01-01,2030-01-01
BAKER,2022-01-01,2030-01-01,2028-01-01
BIOBIO,2022-01-01,2024-01-01,2016-01-01
CHICO,2022-01-01,2024-01-01,2024-01-01
CISNES,2022-01-01,2028-01-01,2024-01-01
COLORADO,2032-01-01,2032-01-01,2034-01-01
COPIAPO,2040-01-01,2040-01-01,2046-01-01
HUASCO,2042-01-01,2044-01-01,2046-01-01
MAGDALENA,2020-01-01,2026-01-01,2024-01-01
MAJES,2020-01-01,2026-01-01,2026-01-01
NEGRO,2022-01-01,2028-01-01,2020-01-01
OCONA,2025-01-01,2028-01-01,2029-01-01
PALENA,2021-01-01,2016-01-01,2018-01-01
PASCUA,2026-01-01,2034-01-01,2034-01-01
PUELO,2021-01-01,2016-01-01,2018-01-01
RAPEL,2010-01-01,2015-01-01,2018-01-01
SANTA,2026-01-01,2026-01-01,2022-01-01
SANTA CRUZ,2027-01-01,2034-01-01,2038-01-01
SERRANO,2024-01-01,2029-01-01,2032-01-01
TITICACA,2025-01-01,2028-01-01,2022-01-01
VALDIVIA,2026-01-01,2030-01-01,2028-01-01
YELCHO,2014-01-01,2016-01-01,2016-01-01
CLUTHA,2034-01-01,2036-01-01,2020-01-01
